token,subject,word,group,language,cons,stress,vot,cog,sd,skew,kurt
BIL_fernandaBueno_dancette_english_1324,fernanda,dancette,bilingual,English,d,unstressed,29.57,2174.274,2405.389,1.420,2.389
BIL_fernandaBueno_dancing_english_1148,fernanda,dancing,bilingual,English,d,stressed,36.94,1924.875,2531.639,2.438,6.225
BIL_fernandaBueno_dancing_english_1544,fernanda,dancing,bilingual,English,d,stressed,19.67,1522.448,2115.532,2.191,5.237
BIL_fernandaBueno_dancing_english_1574,fernanda,dancing,bilingual,English,d,stressed,13.63,978.003,1167.007,2.455,11.326
BIL_fernandaBueno_danesa_spanish_1374,fernanda,danesa,bilingual,Spanish,d,unstressed,-28.23,NA,NA,NA,NA
BIL_fernandaBueno_danesa_spanish_1396,fernanda,danesa,bilingual,Spanish,d,unstressed,16.32,NA,NA,NA,NA
BIL_fernandaBueno_danesa_spanish_1456,fernanda,danesa,bilingual,Spanish,d,unstressed,-27.64,NA,NA,NA,NA
BIL_fernandaBueno_danielle_english_1080,fernanda,danielle,bilingual,English,d,unstressed,31.89,2580.789,2608.772,1.211,1.792
BIL_fernandaBueno_danielle_english_1246,fernanda,danielle,bilingual,English,d,unstressed,31.66,3375.987,2010.468,0.542,2.295
BIL_fernandaBueno_danielle_english_1418,fernanda,danielle,bilingual,English,d,unstressed,34.00,2577.222,2463.144,1.041,1.330
BIL_fernandaBueno_danino_spanish_1426,fernanda,danino,bilingual,Spanish,d,unstressed,-22.64,NA,NA,NA,NA
BIL_fernandaBueno_danino_spanish_1488,fernanda,danino,bilingual,Spanish,d,unstressed,-22.18,NA,NA,NA,NA
BIL_fernandaBueno_danino_spanish_1546,fernanda,danino,bilingual,Spanish,d,unstressed,12.43,NA,NA,NA,NA
BIL_fernandaBueno_dano_spanish_1216,fernanda,dano,bilingual,Spanish,d,stressed,-18.90,NA,NA,NA,NA
BIL_fernandaBueno_dano_spanish_1304,fernanda,dano,bilingual,Spanish,d,stressed,-36.41,NA,NA,NA,NA
BIL_fernandaBueno_dano_spanish_1332,fernanda,dano,bilingual,Spanish,d,stressed,-43.88,NA,NA,NA,NA
BIL_fernandaBueno_danza_spanish_1162,fernanda,danza,bilingual,Spanish,d,stressed,-32.23,NA,NA,NA,NA
BIL_fernandaBueno_danza_spanish_1258,fernanda,danza,bilingual,Spanish,d,stressed,16.97,NA,NA,NA,NA
BIL_fernandaBueno_danza_spanish_1560,fernanda,danza,bilingual,Spanish,d,stressed,53.58,NA,NA,NA,NA
BIL_fernandaBueno_danzar_spanish_1020,fernanda,danzar,bilingual,Spanish,d,unstressed,20.58,NA,NA,NA,NA
BIL_fernandaBueno_danzar_spanish_1098,fernanda,danzar,bilingual,Spanish,d,unstressed,-28.30,NA,NA,NA,NA
BIL_fernandaBueno_danzar_spanish_1520,fernanda,danzar,bilingual,Spanish,d,unstressed,22.89,NA,NA,NA,NA
BIL_fernandaBueno_dazzle_english_1034,fernanda,dazzle,bilingual,English,d,stressed,24.52,979.008,1616.546,3.470,14.706
BIL_fernandaBueno_dazzle_english_1264,fernanda,dazzle,bilingual,English,d,stressed,20.57,1057.878,1380.913,3.442,19.850
BIL_fernandaBueno_dazzle_english_1474,fernanda,dazzle,bilingual,English,d,stressed,19.59,911.545,1576.026,3.126,12.045
BIL_fernandaBueno_tabaco_spanish_1210,fernanda,tabaco,bilingual,Spanish,t,unstressed,12.56,954.672,1626.781,3.238,15.695
BIL_fernandaBueno_tabaco_spanish_1430,fernanda,tabaco,bilingual,Spanish,t,unstressed,12.15,827.633,1245.452,4.614,30.982
BIL_fernandaBueno_tabaco_spanish_1472,fernanda,tabaco,bilingual,Spanish,t,unstressed,21.09,1180.865,1601.822,3.126,13.783
BIL_fernandaBueno_taberna_spanish_1178,fernanda,taberna,bilingual,Spanish,t,unstressed,21.45,1479.541,1604.826,2.580,10.961
BIL_fernandaBueno_taberna_spanish_1268,fernanda,taberna,bilingual,Spanish,t,unstressed,21.54,1259.910,1514.393,2.531,9.119
BIL_fernandaBueno_taberna_spanish_1388,fernanda,taberna,bilingual,Spanish,t,unstressed,15.65,883.015,1212.452,4.198,26.055
BIL_fernandaBueno_tabla_spanish_1022,fernanda,tabla,bilingual,Spanish,t,stressed,39.07,580.545,1084.553,5.590,63.158
BIL_fernandaBueno_tabla_spanish_1466,fernanda,tabla,bilingual,Spanish,t,stressed,16.83,902.858,1435.291,3.703,18.159
BIL_fernandaBueno_tabla_spanish_1478,fernanda,tabla,bilingual,Spanish,t,stressed,19.03,786.693,1254.082,4.224,25.002
BIL_fernandaBueno_tabloid_english_1292,fernanda,tabloid,bilingual,English,t,stressed,58.25,NA,NA,NA,NA
BIL_fernandaBueno_tabloid_english_1452,fernanda,tabloid,bilingual,English,t,stressed,52.76,NA,NA,NA,NA
BIL_fernandaBueno_tabloid_english_1562,fernanda,tabloid,bilingual,English,t,stressed,42.66,NA,NA,NA,NA
BIL_fernandaBueno_taboo_english_1088,fernanda,taboo,bilingual,English,t,unstressed,72.83,NA,NA,NA,NA
BIL_fernandaBueno_taboo_english_1312,fernanda,taboo,bilingual,English,t,unstressed,53.07,NA,NA,NA,NA
BIL_fernandaBueno_taboo_english_1400,fernanda,taboo,bilingual,English,t,unstressed,49.55,NA,NA,NA,NA
BIL_fernandaBueno_tackle_english_1168,fernanda,tackle,bilingual,English,t,stressed,59.22,NA,NA,NA,NA
BIL_fernandaBueno_tackle_english_1278,fernanda,tackle,bilingual,English,t,stressed,39.27,NA,NA,NA,NA
BIL_fernandaBueno_tackle_english_1538,fernanda,tackle,bilingual,English,t,stressed,51.39,NA,NA,NA,NA
BIL_fernandaBueno_tactics_english_1310,fernanda,tactics,bilingual,English,t,stressed,66.18,NA,NA,NA,NA
BIL_fernandaBueno_tactics_english_1434,fernanda,tactics,bilingual,English,t,stressed,40.99,NA,NA,NA,NA
BIL_fernandaBueno_tactics_english_1570,fernanda,tactics,bilingual,English,t,stressed,49.63,NA,NA,NA,NA
BIL_fernandaBueno_tactil_spanish_1056,fernanda,tactil,bilingual,Spanish,t,stressed,13.94,976.128,1182.676,4.586,32.566
BIL_fernandaBueno_tactil_spanish_1188,fernanda,tactil,bilingual,Spanish,t,stressed,18.35,498.395,821.460,7.699,88.261
BIL_fernandaBueno_tactil_spanish_1222,fernanda,tactil,bilingual,Spanish,t,stressed,18.47,1072.825,1776.345,3.717,16.999
BIL_fernandaBueno_tamano_spanish_1218,fernanda,tamano,bilingual,Spanish,t,unstressed,28.79,982.599,1662.295,4.091,23.832
BIL_fernandaBueno_tamano_spanish_1286,fernanda,tamano,bilingual,Spanish,t,unstressed,19.82,1175.949,1664.468,3.307,17.463
BIL_fernandaBueno_tamano_spanish_1340,fernanda,tamano,bilingual,Spanish,t,unstressed,17.84,871.804,1189.048,3.695,23.741
BIL_fernandaBueno_tambien_spanish_1002,fernanda,tambien,bilingual,Spanish,t,unstressed,52.08,1702.061,1428.523,3.272,17.368
BIL_fernandaBueno_tambien_spanish_1060,fernanda,tambien,bilingual,Spanish,t,unstressed,16.72,1167.306,1408.845,3.763,22.189
BIL_fernandaBueno_tambien_spanish_1200,fernanda,tambien,bilingual,Spanish,t,unstressed,22.08,1014.845,1259.128,4.060,26.036
BIL_fernandaBueno_tambourine_english_1110,fernanda,tambourine,bilingual,English,t,unstressed,62.50,NA,NA,NA,NA
BIL_fernandaBueno_tambourine_english_1436,fernanda,tambourine,bilingual,English,t,unstressed,66.14,NA,NA,NA,NA
BIL_fernandaBueno_tambourine_english_1540,fernanda,tambourine,bilingual,English,t,unstressed,41.76,NA,NA,NA,NA
BIL_fernandaBueno_tampoco_spanish_1170,fernanda,tampoco,bilingual,Spanish,t,unstressed,22.06,839.184,1184.635,5.851,60.938
BIL_fernandaBueno_tampoco_spanish_1320,fernanda,tampoco,bilingual,Spanish,t,unstressed,11.24,641.104,1116.173,6.721,70.072
BIL_fernandaBueno_tampoco_spanish_1442,fernanda,tampoco,bilingual,Spanish,t,unstressed,17.25,784.432,959.291,5.652,42.471
BIL_fernandaBueno_tanker_english_1044,fernanda,tanker,bilingual,English,t,stressed,74.58,NA,NA,NA,NA
BIL_fernandaBueno_tanker_english_1376,fernanda,tanker,bilingual,English,t,stressed,49.38,NA,NA,NA,NA
BIL_fernandaBueno_tanker_english_1558,fernanda,tanker,bilingual,English,t,stressed,58.51,NA,NA,NA,NA
BIL_fernandaBueno_tanque_spanish_1124,fernanda,tanque,bilingual,Spanish,t,stressed,10.42,1184.658,1152.723,3.357,21.271
BIL_fernandaBueno_tanque_spanish_1134,fernanda,tanque,bilingual,Spanish,t,stressed,12.93,1106.522,1259.561,4.400,28.538
BIL_fernandaBueno_tanque_spanish_1360,fernanda,tanque,bilingual,Spanish,t,stressed,10.28,1068.351,1637.216,4.009,21.715
BIL_fernandaBueno_tanto_spanish_1054,fernanda,tanto,bilingual,Spanish,t,stressed,48.88,1333.293,827.975,3.861,66.934
BIL_fernandaBueno_tanto_spanish_1126,fernanda,tanto,bilingual,Spanish,t,stressed,19.63,1074.767,1716.499,3.736,17.707
BIL_fernandaBueno_tanto_spanish_1364,fernanda,tanto,bilingual,Spanish,t,stressed,15.27,1276.548,1799.814,3.339,14.629
BIL_fernandaBueno_tantrum_english_1234,fernanda,tantrum,bilingual,English,t,stressed,45.72,NA,NA,NA,NA
BIL_fernandaBueno_tantrum_english_1244,fernanda,tantrum,bilingual,English,t,stressed,47.87,NA,NA,NA,NA
BIL_fernandaBueno_tantrum_english_1248,fernanda,tantrum,bilingual,English,t,stressed,26.43,NA,NA,NA,NA
BIL_fernandaBueno_tapioca_english_1018,fernanda,tapioca,bilingual,English,t,unstressed,39.26,NA,NA,NA,NA
BIL_fernandaBueno_tapioca_english_1318,fernanda,tapioca,bilingual,English,t,unstressed,58.25,NA,NA,NA,NA
BIL_fernandaBueno_tapioca_english_1346,fernanda,tapioca,bilingual,English,t,unstressed,44.92,NA,NA,NA,NA
BIL_fernandaBueno_tattoo_english_1378,fernanda,tattoo,bilingual,English,t,unstressed,45.75,NA,NA,NA,NA
BIL_fernandaBueno_tattoo_english_1406,fernanda,tattoo,bilingual,English,t,unstressed,52.92,NA,NA,NA,NA
BIL_fernandaBueno_tattoo_english_1440,fernanda,tattoo,bilingual,English,t,unstressed,49.28,NA,NA,NA,NA
BIL_fernandaBueno_tattooing_english_1356,fernanda,tattooing,bilingual,English,t,unstressed,40.57,NA,NA,NA,NA
BIL_fernandaBueno_tattooing_english_1398,fernanda,tattooing,bilingual,English,t,unstressed,29.94,NA,NA,NA,NA
BIL_fernandaBueno_taza_spanish_1074,fernanda,taza,bilingual,Spanish,t,stressed,19.09,1033.648,1490.852,4.000,19.944
BIL_fernandaBueno_taza_spanish_1336,fernanda,taza,bilingual,Spanish,t,stressed,19.65,954.741,1375.273,4.498,26.083
BIL_fernandaBueno_taza_spanish_1552,fernanda,taza,bilingual,Spanish,t,stressed,16.70,893.969,1224.258,4.490,27.577
BIL_genesisCubillas_daba_spanish_1018,genesisC,daba,bilingual,Spanish,d,stressed,-65.26,NA,NA,NA,NA
BIL_genesisCubillas_daba_spanish_1202,genesisC,daba,bilingual,Spanish,d,stressed,-66.60,NA,NA,NA,NA
BIL_genesisCubillas_daba_spanish_1272,genesisC,daba,bilingual,Spanish,d,stressed,12.22,NA,NA,NA,NA
BIL_genesisCubillas_daga_spanish_1156,genesisC,daga,bilingual,Spanish,d,stressed,7.17,NA,NA,NA,NA
BIL_genesisCubillas_daga_spanish_1278,genesisC,daga,bilingual,Spanish,d,stressed,8.82,NA,NA,NA,NA
BIL_genesisCubillas_daga_spanish_1284,genesisC,daga,bilingual,Spanish,d,stressed,-74.17,NA,NA,NA,NA
BIL_genesisCubillas_dagger_english_1016,genesisC,dagger,bilingual,English,d,stressed,12.15,1699.531,1440.480,1.031,3.572
BIL_genesisCubillas_dagger_english_1082,genesisC,dagger,bilingual,English,d,stressed,9.45,1924.890,2119.361,1.020,0.500
BIL_genesisCubillas_dagger_english_1162,genesisC,dagger,bilingual,English,d,stressed,18.63,467.416,786.390,6.933,74.632
BIL_genesisCubillas_dakota_english_1014,genesisC,dakota,bilingual,English,d,unstressed,11.92,3168.705,2133.924,0.103,-0.354
BIL_genesisCubillas_dakota_english_1030,genesisC,dakota,bilingual,English,d,unstressed,9.57,1511.472,1308.391,1.944,9.850
BIL_genesisCubillas_dakota_english_1128,genesisC,dakota,bilingual,English,d,unstressed,28.08,480.378,1020.845,4.027,31.896
BIL_genesisCubillas_daltonian_english_1046,genesisC,daltonian,bilingual,English,d,unstressed,13.53,1242.765,1260.016,1.344,6.124
BIL_genesisCubillas_daltonian_english_1076,genesisC,daltonian,bilingual,English,d,unstressed,13.98,845.504,1227.303,2.501,11.415
BIL_genesisCubillas_daltonian_english_1200,genesisC,daltonian,bilingual,English,d,unstressed,12.97,842.475,1076.062,2.644,11.341
BIL_genesisCubillas_daltonico_spanish_1110,genesisC,daltonico,bilingual,Spanish,d,unstressed,-63.58,NA,NA,NA,NA
BIL_genesisCubillas_daltonico_spanish_1176,genesisC,daltonico,bilingual,Spanish,d,unstressed,11.90,NA,NA,NA,NA
BIL_genesisCubillas_daltonico_spanish_1262,genesisC,daltonico,bilingual,Spanish,d,unstressed,-73.09,NA,NA,NA,NA
BIL_genesisCubillas_dama_spanish_1006,genesisC,dama,bilingual,Spanish,d,stressed,28.43,NA,NA,NA,NA
BIL_genesisCubillas_dama_spanish_1096,genesisC,dama,bilingual,Spanish,d,stressed,16.67,NA,NA,NA,NA
BIL_genesisCubillas_dama_spanish_1182,genesisC,dama,bilingual,Spanish,d,stressed,-37.95,NA,NA,NA,NA
BIL_genesisCubillas_damage_english_1032,genesisC,damage,bilingual,English,d,stressed,7.29,1707.085,1312.458,1.071,4.617
BIL_genesisCubillas_damage_english_1164,genesisC,damage,bilingual,English,d,stressed,8.72,1934.965,1642.592,1.048,2.915
BIL_genesisCubillas_damage_english_1198,genesisC,damage,bilingual,English,d,stressed,8.06,1943.580,1821.837,0.805,0.978
BIL_genesisCubillas_damnation_english_1022,genesisC,damnation,bilingual,English,d,unstressed,13.96,868.634,1106.393,2.431,9.989
BIL_genesisCubillas_damnation_english_1186,genesisC,damnation,bilingual,English,d,unstressed,13.57,995.288,1327.836,2.044,5.865
BIL_genesisCubillas_damnation_english_1226,genesisC,damnation,bilingual,English,d,unstressed,9.55,1736.224,1600.191,0.968,2.689
BIL_genesisCubillas_damper_english_1196,genesisC,damper,bilingual,English,d,stressed,7.76,1985.737,1368.402,0.304,2.709
BIL_genesisCubillas_damper_english_1224,genesisC,damper,bilingual,English,d,stressed,7.70,1863.910,1825.583,0.969,0.798
BIL_genesisCubillas_damper_english_1228,genesisC,damper,bilingual,English,d,stressed,13.61,1028.564,1498.100,2.357,6.862
BIL_genesisCubillas_danar_spanish_1060,genesisC,danar,bilingual,Spanish,d,unstressed,-25.63,NA,NA,NA,NA
BIL_genesisCubillas_danar_spanish_1142,genesisC,danar,bilingual,Spanish,d,unstressed,10.20,NA,NA,NA,NA
BIL_genesisCubillas_danar_spanish_1282,genesisC,danar,bilingual,Spanish,d,unstressed,18.86,NA,NA,NA,NA
BIL_genesisCubillas_dancette_english_1058,genesisC,dancette,bilingual,English,d,unstressed,11.14,778.457,1285.274,3.253,14.184
BIL_genesisCubillas_dancette_english_1174,genesisC,dancette,bilingual,English,d,unstressed,13.49,1912.192,2758.735,1.487,1.101
BIL_genesisCubillas_dancette_english_1250,genesisC,dancette,bilingual,English,d,unstressed,12.61,1604.308,2089.454,1.765,3.051
BIL_genesisCubillas_dancing_english_1112,genesisC,dancing,bilingual,English,d,stressed,9.35,1146.349,1457.726,2.205,7.546
BIL_genesisCubillas_dancing_english_1132,genesisC,dancing,bilingual,English,d,stressed,16.20,1042.898,1067.687,1.161,0.566
BIL_genesisCubillas_dancing_english_1234,genesisC,dancing,bilingual,English,d,stressed,11.31,1953.650,1830.088,0.891,0.984
BIL_genesisCubillas_danesa_spanish_1136,genesisC,danesa,bilingual,Spanish,d,unstressed,41.00,NA,NA,NA,NA
BIL_genesisCubillas_danesa_spanish_1170,genesisC,danesa,bilingual,Spanish,d,unstressed,-56.26,NA,NA,NA,NA
BIL_genesisCubillas_danesa_spanish_1190,genesisC,danesa,bilingual,Spanish,d,unstressed,-45.32,NA,NA,NA,NA
BIL_genesisCubillas_danielle_english_1124,genesisC,danielle,bilingual,English,d,unstressed,14.26,770.350,1415.378,2.653,8.919
BIL_genesisCubillas_danielle_english_1172,genesisC,danielle,bilingual,English,d,unstressed,9.34,2754.087,2104.740,0.540,0.627
BIL_genesisCubillas_danielle_english_1206,genesisC,danielle,bilingual,English,d,unstressed,16.18,1026.828,1710.079,2.635,11.071
BIL_genesisCubillas_danino_spanish_1026,genesisC,danino,bilingual,Spanish,d,unstressed,17.25,NA,NA,NA,NA
BIL_genesisCubillas_danino_spanish_1044,genesisC,danino,bilingual,Spanish,d,unstressed,7.90,NA,NA,NA,NA
BIL_genesisCubillas_danino_spanish_1138,genesisC,danino,bilingual,Spanish,d,unstressed,-25.69,NA,NA,NA,NA
BIL_genesisCubillas_dano_spanish_1098,genesisC,dano,bilingual,Spanish,d,stressed,25.73,NA,NA,NA,NA
BIL_genesisCubillas_dano_spanish_1216,genesisC,dano,bilingual,Spanish,d,stressed,-39.76,NA,NA,NA,NA
BIL_genesisCubillas_dano_spanish_1248,genesisC,dano,bilingual,Spanish,d,stressed,-49.81,NA,NA,NA,NA
BIL_genesisCubillas_danza_english_1012,genesisC,danza,bilingual,English,d,stressed,0,NA,NA,NA,NA
BIL_genesisCubillas_danza_spanish_1008,genesisC,danza,bilingual,Spanish,d,stressed,25.22,NA,NA,NA,NA
BIL_genesisCubillas_danza_spanish_1140,genesisC,danza,bilingual,Spanish,d,stressed,-29.18,NA,NA,NA,NA
BIL_genesisCubillas_danzar_spanish_1168,genesisC,danzar,bilingual,Spanish,d,unstressed,12.64,NA,NA,NA,NA
BIL_genesisCubillas_danzar_spanish_1192,genesisC,danzar,bilingual,Spanish,d,unstressed,10.70,NA,NA,NA,NA
BIL_genesisCubillas_danzar_spanish_1240,genesisC,danzar,bilingual,Spanish,d,unstressed,16.03,NA,NA,NA,NA
BIL_genesisCubillas_dazzle_english_1104,genesisC,dazzle,bilingual,English,d,stressed,8.11,2282.509,1545.000,1.282,4.493
BIL_genesisCubillas_dazzle_english_1108,genesisC,dazzle,bilingual,English,d,stressed,8.24,1039.544,1611.402,2.340,6.264
BIL_genesisCubillas_dazzle_english_1118,genesisC,dazzle,bilingual,English,d,stressed,15.66,797.461,1175.284,3.060,13.551
BIL_genesisCubillas_tabaco_spanish_1048,genesisC,tabaco,bilingual,Spanish,t,unstressed,17.65,940.033,1225.850,3.309,18.768
BIL_genesisCubillas_tabaco_spanish_1260,genesisC,tabaco,bilingual,Spanish,t,unstressed,12.87,2085.906,2133.609,1.934,3.220
BIL_genesisCubillas_taberna_spanish_1036,genesisC,taberna,bilingual,Spanish,t,unstressed,13.29,1718.231,1486.369,1.860,7.206
BIL_genesisCubillas_taberna_spanish_1256,genesisC,taberna,bilingual,Spanish,t,unstressed,9.18,1815.336,2116.462,1.830,3.625
BIL_genesisCubillas_tabla_spanish_1064,genesisC,tabla,bilingual,Spanish,t,stressed,10.64,1229.573,1192.849,3.278,20.783
BIL_genesisCubillas_tabla_spanish_1148,genesisC,tabla,bilingual,Spanish,t,stressed,14.04,1723.324,1669.329,2.208,6.348
BIL_genesisCubillas_tabla_spanish_1184,genesisC,tabla,bilingual,Spanish,t,stressed,18.24,1073.577,1264.201,3.507,17.768
BIL_genesisCubillas_tabloid_english_1040,genesisC,tabloid,bilingual,English,t,stressed,45.57,NA,NA,NA,NA
BIL_genesisCubillas_tabloid_english_1116,genesisC,tabloid,bilingual,English,t,stressed,75.76,NA,NA,NA,NA
BIL_genesisCubillas_tabloid_english_1204,genesisC,tabloid,bilingual,English,t,stressed,79.64,NA,NA,NA,NA
BIL_genesisCubillas_taboo_english_1038,genesisC,taboo,bilingual,English,t,unstressed,51.13,NA,NA,NA,NA
BIL_genesisCubillas_taboo_english_1072,genesisC,taboo,bilingual,English,t,unstressed,59.93,NA,NA,NA,NA
BIL_genesisCubillas_taboo_english_1220,genesisC,taboo,bilingual,English,t,unstressed,57.12,NA,NA,NA,NA
BIL_genesisCubillas_tackle_english_1024,genesisC,tackle,bilingual,English,t,stressed,70.39,NA,NA,NA,NA
BIL_genesisCubillas_tackle_english_1034,genesisC,tackle,bilingual,English,t,stressed,60.37,NA,NA,NA,NA
BIL_genesisCubillas_tackle_english_1222,genesisC,tackle,bilingual,English,t,stressed,49.77,NA,NA,NA,NA
BIL_genesisCubillas_tactics_english_1004,genesisC,tactics,bilingual,English,t,stressed,68.35,NA,NA,NA,NA
BIL_genesisCubillas_tactics_english_1054,genesisC,tactics,bilingual,English,t,stressed,39.11,NA,NA,NA,NA
BIL_genesisCubillas_tactics_english_1180,genesisC,tactics,bilingual,English,t,stressed,25.76,NA,NA,NA,NA
BIL_genesisCubillas_tactil_spanish_1028,genesisC,tactil,bilingual,Spanish,t,stressed,14.87,1153.212,1507.206,3.410,14.938
BIL_genesisCubillas_tactil_spanish_1078,genesisC,tactil,bilingual,Spanish,t,stressed,9.12,795.508,955.976,5.155,40.853
BIL_genesisCubillas_tactil_spanish_1236,genesisC,tactil,bilingual,Spanish,t,stressed,11.62,1475.995,1564.372,2.693,11.348
BIL_genesisCubillas_tamano_spanish_1074,genesisC,tamano,bilingual,Spanish,t,unstressed,23.71,2102.938,2150.733,2.134,4.729
BIL_genesisCubillas_tamano_spanish_1152,genesisC,tamano,bilingual,Spanish,t,unstressed,31.06,1741.577,2401.808,2.584,7.505
BIL_genesisCubillas_tamano_spanish_1274,genesisC,tamano,bilingual,Spanish,t,unstressed,16.57,1621.703,1709.772,2.344,6.871
BIL_genesisCubillas_tambien_spanish_1080,genesisC,tambien,bilingual,Spanish,t,unstressed,13.31,1677.706,1634.676,3.304,14.432
BIL_genesisCubillas_tambien_spanish_1106,genesisC,tambien,bilingual,Spanish,t,unstressed,47.74,523.728,1309.062,4.880,32.160
BIL_genesisCubillas_tambien_spanish_1244,genesisC,tambien,bilingual,Spanish,t,unstressed,7.48,1734.262,1364.665,2.776,13.870
BIL_genesisCubillas_tambourine_english_1066,genesisC,tambourine,bilingual,English,t,unstressed,42.33,NA,NA,NA,NA
BIL_genesisCubillas_tambourine_english_1102,genesisC,tambourine,bilingual,English,t,unstressed,62.60,NA,NA,NA,NA
BIL_genesisCubillas_tambourine_english_1264,genesisC,tambourine,bilingual,English,t,unstressed,67.25,NA,NA,NA,NA
BIL_genesisCubillas_tampoco_spanish_1088,genesisC,tampoco,bilingual,Spanish,t,unstressed,11.02,1526.129,1493.335,1.810,7.065
BIL_genesisCubillas_tampoco_spanish_1230,genesisC,tampoco,bilingual,Spanish,t,unstressed,10.26,1066.888,1328.107,2.772,11.433
BIL_genesisCubillas_tampoco_spanish_1246,genesisC,tampoco,bilingual,Spanish,t,unstressed,16.78,1652.135,1816.642,2.335,6.394
BIL_genesisCubillas_tanker_english_1086,genesisC,tanker,bilingual,English,t,stressed,53.25,NA,NA,NA,NA
BIL_genesisCubillas_tanker_english_1232,genesisC,tanker,bilingual,English,t,stressed,70.77,NA,NA,NA,NA
BIL_genesisCubillas_tanker_english_1258,genesisC,tanker,bilingual,English,t,stressed,38.90,NA,NA,NA,NA
BIL_genesisCubillas_tanque_spanish_1090,genesisC,tanque,bilingual,Spanish,t,stressed,10.07,2318.031,1668.230,1.952,5.626
BIL_genesisCubillas_tanque_spanish_1178,genesisC,tanque,bilingual,Spanish,t,stressed,9.57,1400.941,1938.173,2.590,7.974
BIL_genesisCubillas_tanque_spanish_1254,genesisC,tanque,bilingual,Spanish,t,stressed,9.83,1528.551,2094.346,2.727,7.453
BIL_genesisCubillas_tanto_spanish_1050,genesisC,tanto,bilingual,Spanish,t,stressed,8.84,1050.806,1252.930,3.357,16.274
BIL_genesisCubillas_tanto_spanish_1114,genesisC,tanto,bilingual,Spanish,t,stressed,9.46,2070.487,1891.200,1.567,3.678
BIL_genesisCubillas_tanto_spanish_1158,genesisC,tanto,bilingual,Spanish,t,stressed,13.08,2524.293,2896.588,1.358,0.524
BIL_genesisCubillas_tantrum_english_1010,genesisC,tantrum,bilingual,English,t,stressed,57.42,NA,NA,NA,NA
BIL_genesisCubillas_tantrum_english_1062,genesisC,tantrum,bilingual,English,t,stressed,47.08,NA,NA,NA,NA
BIL_genesisCubillas_tantrum_english_1208,genesisC,tantrum,bilingual,English,t,stressed,52.11,NA,NA,NA,NA
BIL_genesisCubillas_tapioca_english_1092,genesisC,tapioca,bilingual,English,t,unstressed,38.30,NA,NA,NA,NA
BIL_genesisCubillas_tapioca_english_1130,genesisC,tapioca,bilingual,English,t,unstressed,39.55,NA,NA,NA,NA
BIL_genesisCubillas_tapioca_english_1212,genesisC,tapioca,bilingual,English,t,unstressed,78.00,NA,NA,NA,NA
BIL_genesisCubillas_tattoo_english_1002,genesisC,tattoo,bilingual,English,t,unstressed,47.38,NA,NA,NA,NA
BIL_genesisCubillas_tattoo_english_1160,genesisC,tattoo,bilingual,English,t,unstressed,60.05,NA,NA,NA,NA
BIL_genesisCubillas_tattoo_english_1266,genesisC,tattoo,bilingual,English,t,unstressed,57.41,NA,NA,NA,NA
BIL_genesisCubillas_tattooing_english_1042,genesisC,tattooing,bilingual,English,t,unstressed,63.47,NA,NA,NA,NA
BIL_genesisCubillas_tattooing_english_1166,genesisC,tattooing,bilingual,English,t,unstressed,54.49,NA,NA,NA,NA
BIL_genesisCubillas_tattooing_english_1270,genesisC,tattooing,bilingual,English,t,unstressed,56.03,NA,NA,NA,NA
BIL_genesisCubillas_taza_spanish_1020,genesisC,taza,bilingual,Spanish,t,stressed,11.11,1064.198,1632.309,3.023,10.799
BIL_genesisCubillas_taza_spanish_1070,genesisC,taza,bilingual,Spanish,t,stressed,11.35,1067.635,1585.140,2.708,8.937
BIL_genesisCubillas_taza_spanish_1084,genesisC,taza,bilingual,Spanish,t,stressed,12.89,1534.887,1817.824,2.262,6.781
BIL_izamarMurieta_daba_spanish_1090,izamarMu,daba,bilingual,Spanish,d,stressed,-89.60,NA,NA,NA,NA
BIL_izamarMurieta_daba_spanish_1152,izamarMu,daba,bilingual,Spanish,d,stressed,-88.04,NA,NA,NA,NA
BIL_izamarMurieta_daba_spanish_1160,izamarMu,daba,bilingual,Spanish,d,stressed,-105.77,NA,NA,NA,NA
BIL_izamarMurieta_daba_spanish_1232,izamarMu,daba,bilingual,Spanish,d,stressed,-105.88,NA,NA,NA,NA
BIL_izamarMurieta_daga_spanish_1040,izamarMu,daga,bilingual,Spanish,d,stressed,-89.35,NA,NA,NA,NA
BIL_izamarMurieta_daga_spanish_1154,izamarMu,daga,bilingual,Spanish,d,stressed,-132.84,NA,NA,NA,NA
BIL_izamarMurieta_dagger_english_1006,izamarMu,dagger,bilingual,English,d,stressed,27.52,2386.435,2805.716,1.652,2.077
BIL_izamarMurieta_dagger_english_1042,izamarMu,dagger,bilingual,English,d,stressed,29.22,5586.927,3644.057,-0.229,-1.359
BIL_izamarMurieta_dagger_english_1124,izamarMu,dagger,bilingual,English,d,stressed,-107.61,NA,NA,NA,NA
BIL_izamarMurieta_dakota_english_1046,izamarMu,dakota,bilingual,English,d,unstressed,-56.83,NA,NA,NA,NA
BIL_izamarMurieta_dakota_english_1072,izamarMu,dakota,bilingual,English,d,unstressed,22.27,4871.521,3472.309,-0.004,-1.528
BIL_izamarMurieta_dakota_english_1106,izamarMu,dakota,bilingual,English,d,unstressed,-108.09,NA,NA,NA,NA
